id,category,item,price,aisle,row,column
1,Food,Banana,0.30,1,1,2
2,Food,Orange,0.40,1,1,3
3,Food,Grapes,2.00,1,1,4
4,Food,Bread,1.20,1,1,5
5,Food,Milk,0.90,1,1,6
6,Food,Cereal,2.50,1,1,7
7,Food,Cheese,2.99,1,1,8
8,Food,Chicken,5.00,1,1,9
9,Food,Beef,7.50,1,1,10
10,Food,Pork,6.00,1,1,11
11,Food,Vegetables,1.50,1,2,1
12,Food,Potatoes,1.00,1,2,2
13,Food,Rice,1.80,1,2,3
14,Food,Pasta,0.85,1,2,4
15,Food,Sugar,1.50,1,2,5
16,Food,Flour,1.20,1,2,6
17,Food,Salt,0.70,1,2,7
18,Food,Spices,2.50,1,2,8
19,Food,Eggs,2.30,1,2,9
20,Food,Butter,1.75,1,2,10
21,Beverages,Water,0.50,2,1,1
22,Beverages,Soda,1.00,2,1,2
23,Beverages,Coffee,3.00,2,1,3
24,Beverages,Tea,2.50,2,1,4
25,Beverages,Juice,2.00,2,1,5
26,Beverages,Energy Drink,2.99,2,1,6
27,Beverages,Sports Drink,1.75,2,1,7
28,Beverages,Beer,4.50,2,1,8
29,Beverages,Wine,8.00,2,1,9
30,Beverages,Whiskey,15.00,2,1,10
31,Snacks,Chips,1.50,3,1,1
32,Snacks,Cookies,2.00,3,1,2
33,Snacks,Chocolate,1.20,3,1,3
34,Snacks,Nuts,3.50,3,1,4
35,Snacks,Popcorn,1.00,3,1,5
36,Snacks,Trail Mix,2.99,3,1,6
37,Snacks,Dried Fruit,4.50,3,1,7
38,Snacks,Gummy Bears,1.50,3,1,8
39,Snacks,Granola Bars,3.00,3,1,9
40,Snacks,Beef Jerky,5.00,3,1,10
41,Dairy,Yogurt,0.90,4,1,1
42,Dairy,Ice Cream,3.50,4,1,2
43,Dairy,Milk Alternative,2.50,4,1,3
44,Dairy,Cream Cheese,2.00,4,1,4
45,Dairy,Cottage Cheese,1.50,4,1,5
46,Dairy,Whipped Cream,1.25,4,1,6
47,Dairy,Parmesan Cheese,5.00,4,1,7
48,Dairy,Swiss Cheese,4.00,4,1,8
49,Dairy,Gouda Cheese,4.50,4,1,9
50,Dairy,Cheddar Cheese,3.50,4,1,10
51,Health&Wellness,Vitamins,9.99,5,1,1
52,Health&Wellness,Pain Reliever,5.50,5,1,2
53,Health&Wellness,Cold Medicine,4.00,5,1,3
54,Health&Wellness,Allergy Relief,6.50,5,1,4
55,Health&Wellness,First Aid Kit,12.99,5,1,5
56,Health&Wellness,Thermometer,3.50,5,1,6
57,Health&Wellness,Hydration Tablets,2.50,5,1,7
58,Health&Wellness,Protein Bars,2.25,5,1,8
59,Health&Wellness,Sunscreen,6.00,5,1,9
60,Health&Wellness,Hand Sanitizer,1.50,5,1,10
61,Household,Cleaner,3.99,6,1,1
62,Household,Laundry Detergent,6.50,6,1,2
63,Household,Dish Soap,2.50,6,1,3
64,Household,Paper Towels,3.00,6,1,4
65,Household,Toilet Paper,4.00,6,1,5
66,Household,Sponge,1.00,6,1,6
67,Household,Trash Bags,4.99,6,1,7
68,Household,Candles,2.00,6,1,8
69,Household,Light Bulbs,1.75,6,1,9
70,Household,Air Freshener,2.25,6,1,10
71,PersonalCare,Shampoo,4.00,7,1,1
72,PersonalCare,Conditioner,4.00,7,1,2
73,PersonalCare,Body Wash,3.50,7,1,3
74,PersonalCare,Toothbrush,1.00,7,1,4
75,PersonalCare,Toothpaste,2.00,7,1,5
76,PersonalCare,Deodorant,2.50,7,1,6
77,PersonalCare,Face Wash,3.00,7,1,7
78,PersonalCare,Moisturizer,5.00,7,1,8
79,PersonalCare,Hair Gel,3.50,7,1,9
80,PersonalCare,Nail Polish,4.00,7,1,10
81,Produce,Carrots,0.60,8,1,1
82,Produce,Lettuce,1.00,8,1,2
83,Produce,Tomatoes,0.80,8,1,3
84,Produce,Onions,0.50,8,1,4
85,Produce,Cucumber,0.90,8,1,5
86,Produce,Broccoli,1.20,8,1,6
87,Produce,Spinach,1.50,8,1,7
88,Produce,Celery,1.00,8,1,8
89,Produce,Zucchini,1.00,8,1,9
90,Produce,Cabbage,1.25,8,1,10
91,Frozen,Frozen Pizza,5.00,9,1,1
92,Frozen,Frozen Vegetables,2.00,9,1,2
93,Frozen,Frozen Fruits,3.00,9,1,3
94,Frozen,Frozen Dinners,4.50,9,1,4
95,Frozen,Frozen Waffles,2.50,9,1,5
96,Frozen,Frozen Yogurt,3.00,9,1,6
97,Frozen,Frozen Burritos,1.99,9,1,7
98,Frozen,Frozen Fish,8.00,9,1,8
99,Frozen,Frozen Chicken Nuggets,3.50,9,1,9
100,Frozen,Frozen Breakfast Sandwiches,2.75,9,1,10
101,Grains,Oats,1.50,10,1,1
102,Grains,Quinoa,4.00,10,1,2
103,Grains,Brown Rice,1.80,10,1,3
104,Grains,Barley,2.25,10,1,4
105,Grains,Couscous,2.99,10,1,5
106,Grains,Polenta,3.00,10,1,6
